Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2022-04-10T05:10:00,60,ABK,18.82,68.35,101.70,65.74,7.08,24.26,9.77,80.42,-136.2,-59.5,-216.2,-124.1,-81.8,-216.2
2022-04-10T05:10:00,60,AND,16.03,69.30,100.22,66.86,6.98,23.14,8.46,81.45,-219.0,-35.9,-627.1,-211.4,-67.7,-627.1
2022-04-10T05:10:00,60,ARS,58.57,56.43,132.43,52.90,9.13,37.10,15.17,59.53,-28.4,-30.7,2.6,-19.4,-37.1,2.6
2022-04-10T05:10:00,60,ATU,306.43,67.93,38.19,73.99,2.84,16.01,-28.94,102.30,-190.1,-92.8,168.6,-211.3,10.8,168.6
2022-04-10T05:10:00,60,BDV,14.02,49.07,89.64,44.35,6.27,45.65,4.55,83.24,37.7,8.0,-8.7,37.0,11.0,-8.7
2022-04-10T05:10:00,60,BEL,20.80,51.83,96.27,47.71,6.72,42.29,6.52,78.86,45.2,-11.6,-2.8,46.2,-6.3,-2.8
2022-04-10T05:10:00,60,BFE,11.67,55.62,89.56,52.27,6.27,37.73,4.40,84.12,75.7,20.9,-0.3,73.9,26.6,-0.3
2022-04-10T05:10:00,60,BFO,8.33,48.33,84.57,43.41,5.94,46.59,3.12,87.06,39.4,15.4,-9.7,38.5,17.6,-9.7
2022-04-10T05:10:00,60,BJN,19.20,74.50,107.71,71.89,7.48,18.11,12.11,80.65,-693.0,97.2,158.5,-698.0,-50.2,158.5
2022-04-10T05:10:00,60,BLC,263.99,64.32,-30.06,73.60,22.29,16.40,-1.71,106.36,-337.8,-251.1,375.6,-345.1,-240.9,375.6
2022-04-10T05:10:00,60,BRD,260.03,49.87,-33.04,59.20,22.10,30.80,5.24,118.87,63.0,5.5,-271.6,62.2,11.3,-271.6
2022-04-10T05:10:00,60,BRW,203.38,71.32,-106.49,70.64,17.20,19.36,12.49,85.82,-71.1,-56.6,-205.7,-57.1,-70.7,-205.7
2022-04-10T05:10:00,60,C04,251.74,50.06,-44.33,58.14,21.34,31.86,10.90,116.01,13.2,68.2,-99.8,0.0,69.5,-99.8
2022-04-10T05:10:00,60,C06,247.03,53.35,-51.24,60.64,20.88,29.36,13.92,111.63,nan,nan,nan,nan,nan,nan
2022-04-10T05:10:00,60,C07,233.31,65.26,-73.47,69.85,19.40,20.15,20.41,98.25,-359.6,-153.3,-145.7,-283.6,-269.0,-145.7
2022-04-10T05:10:00,60,CBB,254.97,69.12,-47.81,77.05,21.11,12.95,7.46,100.54,-254.5,-419.8,202.4,-197.8,-449.3,202.4
2022-04-10T05:10:00,60,CDC,283.40,64.20,3.04,73.47,0.50,16.53,-22.84,107.86,12.2,-194.6,50.2,-64.3,-184.1,50.2
2022-04-10T05:10:00,60,CHC,276.00,64.35,-9.45,73.97,23.67,16.03,-16.75,107.53,-189.9,-180.9,377.8,-234.0,-118.5,377.8
2022-04-10T05:10:00,60,CLF,2.27,48.02,79.42,43.11,5.59,46.89,1.46,91.08,31.5,29.9,-5.5,30.7,30.7,-5.5
2022-04-10T05:10:00,60,CMO,212.14,64.87,-93.82,65.45,18.04,24.55,16.37,90.80,360.4,29.3,-529.3,337.5,129.7,-529.3
2022-04-10T05:10:00,60,CPS,180.63,68.88,-120.92,65.37,16.24,24.63,0.93,78.21,328.8,116.8,-104.7,326.8,122.2,-104.7
2022-04-10T05:10:00,60,DAW,220.89,64.05,-85.34,66.24,18.61,23.76,18.97,94.56,53.5,-55.8,-432.2,68.7,-35.3,-432.2
2022-04-10T05:10:00,60,DMH,341.37,76.77,84.38,77.34,5.92,12.66,-14.25,89.08,-343.2,167.3,164.4,-291.5,246.7,164.4
2022-04-10T05:10:00,60,DOB,9.11,62.07,90.19,59.64,6.31,30.36,3.79,84.73,23.6,31.3,-125.3,21.4,32.8,-125.3
2022-04-10T05:10:00,60,DON,12.50,66.11,95.19,63.75,6.64,26.25,5.87,82.89,-1.2,-4.6,-206.3,-0.7,-4.7,-206.3
2022-04-10T05:10:00,60,EAG,218.84,64.78,-87.77,66.59,18.45,23.41,18.53,93.44,1.1,-154.1,-575.9,50.0,-145.8,-575.9
2022-04-10T05:10:00,60,ESK,356.80,55.32,77.25,52.74,5.45,37.26,-1.09,92.42,36.5,59.9,-46.7,37.6,59.2,-46.7
2022-04-10T05:10:00,60,FCC,265.91,58.76,-25.59,68.50,22.59,21.50,-1.58,111.92,-800.8,-228.2,-29.6,-806.8,-206.0,-29.6
2022-04-10T05:10:00,60,FHB,310.32,62.00,39.05,67.41,2.90,22.59,-23.50,106.89,-338.6,15.4,233.3,-304.4,149.1,233.3
2022-04-10T05:10:00,60,FMC,248.79,56.66,-50.02,64.28,20.96,25.72,13.65,109.61,nan,nan,nan,nan,nan,nan
2022-04-10T05:10:00,60,FSP,238.77,61.76,-64.89,67.47,19.97,22.53,18.87,102.42,-205.7,194.7,-69.8,-257.6,117.8,-69.8
2022-04-10T05:10:00,60,FUR,11.28,48.17,87.05,43.20,6.10,46.80,3.84,85.13,36.7,11.5,-5.5,35.9,13.9,-5.5
2022-04-10T05:10:00,60,FYU,214.78,66.56,-92.75,67.65,18.11,22.35,17.42,91.17,-56.5,-104.5,-746.8,-22.6,-116.6,-746.8
2022-04-10T05:10:00,60,GDH,306.47,69.25,39.39,75.25,2.92,14.75,-30.02,101.09,-133.0,-44.2,210.6,-137.3,28.3,210.6
2022-04-10T05:10:00,60,GHB,308.27,64.17,37.85,69.98,2.82,20.02,-25.54,105.39,-232.9,-12.8,254.4,-215.7,88.9,254.4
2022-04-10T05:10:00,60,GHC,264.15,68.63,-31.68,77.54,22.19,12.46,-5.51,102.31,-126.5,-283.5,351.1,-153.1,-270.0,351.1
2022-04-10T05:10:00,60,GIM,265.36,56.38,-26.08,66.16,22.56,23.84,-0.31,114.08,-409.6,-169.4,-510.6,-410.6,-167.2,-510.6
2022-04-10T05:10:00,60,HAD,355.52,50.98,74.74,47.37,5.28,42.63,-1.00,94.50,33.1,46.2,-2.7,33.9,45.7,-2.7
2022-04-10T05:10:00,60,HAN,26.60,62.25,104.72,59.12,7.28,30.88,11.32,76.59,-6.0,-62.4,-61.0,6.4,-62.3,-61.0
2022-04-10T05:10:00,60,HLP,18.82,54.61,95.32,50.93,6.65,39.07,6.50,80.08,49.9,-33.6,0.8,53.4,-27.7,0.8
2022-04-10T05:10:00,60,HOP,25.01,76.51,114.59,73.53,7.94,16.47,16.95,79.46,-349.6,297.2,266.7,-421.1,182.4,266.7
2022-04-10T05:10:00,60,HRB,18.19,47.86,93.03,42.92,6.50,47.08,5.33,80.54,32.7,3.0,-1.0,32.3,6.0,-1.0
2022-04-10T05:10:00,60,HRN,15.60,77.00,108.72,74.52,7.55,15.48,10.57,81.65,-307.9,375.8,500.8,-371.6,312.9,500.8
2022-04-10T05:10:00,60,IQA,291.48,63.75,15.58,72.21,1.34,17.79,-25.91,108.01,-61.7,-53.4,325.6,-78.8,-21.0,325.6
2022-04-10T05:10:00,60,IRT,104.45,52.17,178.45,47.79,12.19,42.21,-4.60,44.25,-61.4,-11.1,-7.3,-62.1,-6.1,-7.3
2022-04-10T05:10:00,60,ISL,265.34,53.86,-25.79,63.70,22.58,26.30,0.22,116.46,-373.4,-211.7,-496.3,-372.5,-213.1,-496.3
2022-04-10T05:10:00,60,IVA,27.29,68.56,108.61,65.60,7.54,24.40,14.39,77.36,-321.2,12.6,-178.0,-314.3,-67.6,-178.0
2022-04-10T05:10:00,60,JAN,351.30,70.90,82.78,70.47,5.82,19.53,-6.71,89.34,-506.4,361.7,39.3,-460.6,418.4,39.3
2022-04-10T05:10:00,60,JCK,16.98,66.40,98.94,63.82,6.89,26.18,8.26,81.07,-12.8,-12.2,-158.1,-10.9,-13.9,-158.1
2022-04-10T05:10:00,60,JCO,211.20,70.36,-99.27,70.86,17.68,19.14,16.07,88.55,-199.6,-36.1,-441.5,-181.8,-90.0,-441.5
2022-04-10T05:10:00,60,KAR,5.24,59.21,85.69,56.70,6.01,33.30,2.05,87.05,45.5,43.4,-20.1,43.9,45.0,-20.1
2022-04-10T05:10:00,60,KEV,27.01,69.76,109.22,66.82,7.58,23.18,14.81,77.68,-457.3,107.5,-104.7,-469.6,-13.0,-104.7
2022-04-10T05:10:00,60,KHB,134.69,47.61,-151.91,41.44,14.17,48.56,-12.09,47.99,-56.9,-35.7,3.0,-63.1,-23.0,3.0
2022-04-10T05:10:00,60,KIL,20.77,69.06,103.75,66.37,7.22,23.63,11.08,79.76,-299.0,-76.1,-207.4,-278.8,-132.1,-207.4
2022-04-10T05:10:00,60,KIR,20.42,67.84,102.62,65.14,7.14,24.86,10.48,79.80,-112.9,-38.4,-232.8,-104.0,-58.3,-232.8
2022-04-10T05:10:00,60,KUV,302.82,74.57,41.92,80.69,3.09,9.31,-35.78,96.58,-61.7,-120.6,268.7,-120.6,-61.8,268.7
2022-04-10T05:10:00,60,LER,358.82,60.13,80.96,58.20,5.70,31.80,-0.87,89.99,11.6,90.3,-147.6,13.0,90.1,-147.6
2022-04-10T05:10:00,60,LET,247.13,49.64,-50.07,56.88,20.96,33.12,13.13,114.55,31.7,79.0,-55.5,12.9,84.1,-55.5
2022-04-10T05:10:00,60,LON,16.66,45.41,91.18,39.82,6.38,50.18,4.75,81.69,27.6,3.8,1.7,27.2,6.1,1.7
2022-04-10T05:10:00,60,LRV,338.30,64.18,66.72,65.01,4.75,24.99,-12.39,96.91,-382.7,415.3,22.9,-284.7,487.7,22.9
2022-04-10T05:10:00,60,LVV,23.75,49.90,98.46,45.49,6.86,44.51,6.80,76.92,22.6,-7.9,19.3,23.4,-5.2,19.3
2022-04-10T05:10:00,60,LYC,18.75,64.61,99.33,61.87,6.92,28.13,8.68,80.30,3.5,-51.2,-131.3,11.2,-50.1,-131.3
2022-04-10T05:10:00,60,LYR,15.83,78.20,111.03,75.64,7.70,14.36,11.22,81.62,-43.1,341.0,553.7,-108.7,326.1,553.7
2022-04-10T05:10:00,60,MAS,23.70,69.46,106.36,66.65,7.39,23.35,12.86,78.77,-384.8,42.1,-202.9,-384.5,-44.5,-202.9
2022-04-10T05:10:00,60,MEA,246.65,54.62,-52.10,61.85,20.82,28.15,14.36,110.50,-38.0,92.6,-279.6,-59.8,80.3,-279.6
2022-04-10T05:10:00,60,MEK,30.97,62.77,108.66,59.57,7.54,30.43,13.26,74.71,-18.6,-65.5,-52.6,-3.0,-68.0,-52.6
2022-04-10T05:10:00,60,MGD,150.86,59.97,-139.32,54.30,15.01,35.70,-11.70,63.18,-60.7,-25.5,16.3,-64.6,-12.7,16.3
2022-04-10T05:10:00,60,MNK,27.88,54.50,103.27,50.76,7.18,39.24,8.95,74.83,20.4,-28.3,-11.4,24.6,-24.7,-11.4
