Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2022-08-08T06:40:00,60,ABK,18.82,68.35,101.70,65.74,8.47,24.26,9.86,65.09,nan,nan,nan,nan,nan,nan
2022-08-08T06:40:00,60,AND,16.03,69.30,100.22,66.86,8.37,23.14,8.56,66.35,-485.2,134.7,345.9,-499.9,61.0,345.9
2022-08-08T06:40:00,60,ARS,58.57,56.43,132.43,52.90,10.52,37.10,15.20,43.88,-90.2,13.5,-1.6,-90.6,-10.6,-1.6
2022-08-08T06:40:00,60,ATU,306.43,67.93,38.19,73.99,4.24,16.01,-28.78,89.88,-246.6,4.1,605.5,-214.1,122.3,605.5
2022-08-08T06:40:00,60,BDV,14.02,49.07,89.64,44.35,7.67,45.65,4.60,63.15,-35.2,-14.8,0.3,-33.9,-17.6,0.3
2022-08-08T06:40:00,60,BEL,20.80,51.83,96.27,47.71,8.11,42.29,6.57,59.37,-47.1,-15.3,-1.0,-45.0,-20.6,-1.0
2022-08-08T06:40:00,60,BFE,11.67,55.62,89.56,52.27,7.66,37.73,4.47,65.36,-48.0,-31.1,-20.4,-45.5,-34.8,-20.4
2022-08-08T06:40:00,60,BFO,8.33,48.33,84.57,43.41,7.33,46.59,3.17,66.85,-28.9,-15.3,0.2,-28.0,-16.9,0.2
2022-08-08T06:40:00,60,BJN,19.20,74.50,107.71,71.89,8.87,18.11,12.22,67.22,185.9,39.3,199.3,173.4,77.8,199.3
2022-08-08T06:40:00,60,BLC,263.99,64.32,-30.06,73.60,23.69,16.40,-1.66,99.53,-284.6,-48.3,463.3,-285.9,-40.0,463.3
2022-08-08T06:40:00,60,BRD,260.03,49.87,-33.04,59.20,23.49,30.80,5.22,114.00,-80.9,33.7,-222.9,-83.7,26.2,-222.9
2022-08-08T06:40:00,60,BRW,203.38,71.32,-106.49,70.64,18.59,19.36,12.34,84.25,-433.4,-505.0,-82.3,-315.5,-585.9,-82.3
2022-08-08T06:40:00,60,C04,251.74,50.06,-44.33,58.14,22.74,31.86,10.88,113.27,-112.3,40.1,-161.6,-117.9,18.2,-161.6
2022-08-08T06:40:00,60,C06,247.03,53.35,-51.24,60.64,22.28,29.36,13.89,109.43,-417.2,4.2,-307.9,-406.0,-96.1,-307.9
2022-08-08T06:40:00,60,C07,233.31,65.26,-73.47,69.85,20.79,20.15,20.32,95.88,-191.4,-132.4,208.1,-133.5,-190.6,208.1
2022-08-08T06:40:00,60,C13,239.97,51.88,-59.30,57.77,21.74,32.23,16.05,109.48,-140.7,3.9,-137.4,-136.3,-35.2,-137.4
2022-08-08T06:40:00,60,CBB,254.97,69.12,-47.81,77.05,22.51,12.95,7.45,94.63,63.3,-85.8,294.8,73.9,-76.9,294.8
2022-08-08T06:40:00,60,CDC,283.40,64.20,3.04,73.47,1.90,16.53,-22.69,97.92,-270.4,-293.5,348.4,-362.6,-166.5,348.4
2022-08-08T06:40:00,60,CHC,276.00,64.35,-9.45,73.97,1.06,16.03,-16.62,98.75,-353.9,-100.3,434.6,-367.8,5.1,434.6
2022-08-08T06:40:00,60,CLF,2.27,48.02,79.42,43.11,6.99,46.89,1.52,70.89,-21.7,-11.8,-3.8,-21.4,-12.3,-3.8
2022-08-08T06:40:00,60,CMO,212.14,64.87,-93.82,65.45,19.44,24.55,16.26,90.84,-156.4,-69.2,45.0,-130.8,-110.3,45.0
2022-08-08T06:40:00,60,CY0,291.40,70.50,18.88,78.52,2.95,11.48,-32.84,90.92,100.6,30.7,224.9,101.2,-28.8,224.9
2022-08-08T06:40:00,60,DAW,220.89,64.05,-85.34,66.24,20.00,23.76,18.87,94.00,nan,nan,nan,nan,nan,nan
2022-08-08T06:40:00,60,DMH,341.37,76.77,84.38,77.34,7.32,12.66,-14.09,76.59,86.8,180.0,19.4,128.0,153.5,19.4
2022-08-08T06:40:00,60,DOB,9.11,62.07,90.19,59.64,7.71,30.36,3.87,67.54,-107.6,-44.4,-96.9,-104.4,-51.6,-96.9
2022-08-08T06:40:00,60,DON,12.50,66.11,95.19,63.75,8.04,26.25,5.95,66.81,-317.3,-2.0,-115.0,-315.4,-34.9,-115.0
2022-08-08T06:40:00,60,EAG,218.84,64.78,-87.77,66.59,19.84,23.41,18.43,92.88,-314.3,-253.0,-27.7,-218.2,-339.4,-27.7
2022-08-08T06:40:00,60,ESK,356.80,55.32,77.25,52.74,6.84,37.26,-1.01,73.76,-28.1,-24.2,-39.6,-28.6,-23.6,-39.6
2022-08-08T06:40:00,60,FCC,265.91,58.76,-25.59,68.50,23.99,21.50,-1.56,105.03,-536.7,-156.4,271.4,-540.8,-141.8,271.4
2022-08-08T06:40:00,60,FHB,310.32,62.00,39.05,67.41,4.30,22.59,-23.38,92.94,-536.6,-40.4,-114.4,-508.6,175.8,-114.4
2022-08-08T06:40:00,60,FMC,248.79,56.66,-50.02,64.28,22.36,25.72,13.61,106.45,-481.6,-9.7,213.8,-465.8,-122.8,213.8
2022-08-08T06:40:00,60,FSP,238.77,61.76,-64.89,67.47,21.37,22.53,18.81,100.07,nan,nan,nan,nan,nan,nan
2022-08-08T06:40:00,60,FUR,11.28,48.17,87.05,43.20,7.50,46.80,3.89,64.88,-33.2,-15.2,-0.0,-32.0,-17.4,-0.0
2022-08-08T06:40:00,60,FYU,214.78,66.56,-92.75,67.65,19.51,22.35,17.30,90.43,nan,nan,nan,nan,nan,nan
2022-08-08T06:40:00,60,GDH,306.47,69.25,39.39,75.25,4.32,14.75,-29.85,88.90,-70.2,100.6,500.7,-10.8,122.2,500.7
2022-08-08T06:40:00,60,GHB,308.27,64.17,37.85,69.98,4.22,20.02,-25.41,92.08,-715.1,-56.9,250.4,-670.3,255.4,250.4
2022-08-08T06:40:00,60,GHC,264.15,68.63,-31.68,77.54,23.58,12.46,-5.40,95.22,64.6,-23.2,269.3,62.2,-29.2,269.3
2022-08-08T06:40:00,60,GIM,265.36,56.38,-26.08,66.16,23.95,23.84,-0.30,107.43,-851.6,-187.2,139.7,-852.6,-182.8,139.7
2022-08-08T06:40:00,60,HAD,355.52,50.98,74.74,47.37,6.68,42.63,-0.93,74.99,-14.8,-18.4,-15.1,-15.1,-18.1,-15.1
2022-08-08T06:40:00,60,HAN,26.60,62.25,104.72,59.12,8.67,30.88,11.38,59.77,-107.2,-38.1,-35.9,-97.6,-58.6,-35.9
2022-08-08T06:40:00,60,HLP,18.82,54.61,95.32,50.93,8.05,39.07,6.56,61.16,-53.7,-23.7,-12.3,-50.6,-29.7,-12.3
2022-08-08T06:40:00,60,HOP,25.01,76.51,114.59,73.53,9.33,16.47,17.07,66.80,184.4,70.3,45.7,155.6,121.4,45.7
